image_filename,contour_index,area,perimeter,centroid_x,centroid_y
4,0,25.0,20.0,910,1091
4,1,568755.0,6073.310196638107,515,626
5,0,20.0,18.0,399,1009
5,1,196.0,66.14213538169861,122,702
5,2,155.5,49.55634891986847,459,542
5,3,3521.5,455.37972342967987,393,579
5,4,514.5,110.87005698680878,490,541
5,5,5841.5,584.9777023792267,54,604
5,6,516.0,92.14213538169861,416,511
5,7,85.0,38.485281229019165,39,487
5,8,341.0,80.76955199241638,99,481
5,9,209.5,58.041630029678345,216,459
5,10,2125.0,227.88224971294403,498,472
5,11,20.0,18.0,363,428
5,12,11070.0,810.7594468593597,328,488
5,13,129.0,45.31370830535889,461,420
5,14,213.5,60.72792184352875,137,402
5,15,1014.5,126.66904675960541,278,348
5,16,83.5,49.071067690849304,878,332
5,17,1159.0,188.56854140758514,234,310
5,18,4652.0,418.7350620031357,602,281
5,19,103.5,45.071067690849304,858,213
5,20,16.0,16.0,200,202
5,21,200.0,63.79898953437805,650,188
5,22,373.5,88.87005710601807,588,193
5,23,325.5,78.87005722522736,223,187
5,24,13853.5,886.8599516153336,119,289
5,25,1387.0,184.0832600593567,181,126
5,26,319257.5,4467.686623334885,657,640
5,27,67198.0,1831.5432773828506,424,184
2,0,20.0,18.0,293,874
2,1,356162.0,3044.920036315918,387,492
3,0,307066.0,2476.635765314102,363,385
3,1,4.0,8.0,1,1
1,0,16.0,16.0,598,694
1,1,235.0,83.31370830535889,571,694
1,2,16.0,16.0,223,672
1,3,16.0,16.0,239,653
1,4,16.0,16.0,601,649
1,5,117.5,52.24264061450958,626,644
1,6,16.0,16.0,463,390
1,7,56.5,33.41421353816986,562,363
1,8,48.0,28.82842707633972,108,365
1,9,24.0,20.0,81,363
1,10,66.5,39.41421353816986,56,363
1,11,59.5,31.071067690849304,72,347
1,12,24.0,20.0,46,346
1,13,94.5,43.071067571640015,172,331
1,14,46.5,29.41421353816986,20,327
1,15,20.0,18.0,160,257
1,16,67.0,36.82842707633972,446,216
1,17,50.0,30.0,485,198
1,18,16.0,16.0,464,196
1,19,90.0,55.65685415267944,598,197
1,20,20.0,18.0,614,193
1,21,24.0,20.0,504,193
1,22,58.0,33.65685415267944,422,194
1,23,56.5,31.41421353816986,643,194
1,24,60.0,33.65685415267944,631,191
1,25,60.5,35.41421353816986,517,157
1,26,51.0,30.82842707633972,455,157
1,27,66.0,33.65685415267944,406,158
1,28,32.5,25.41421353816986,715,155
1,29,38.0,24.82842707633972,648,154
1,30,24.0,20.0,632,155
1,31,37.5,25.41421353816986,144,154
1,32,64.5,35.41421353816986,498,152
1,33,89.0,39.65685415267944,422,156
1,34,97.5,48.24264061450958,470,150
1,35,131.5,67.0710676908493,45,153
1,36,35.5,23.41421353816986,631,122
1,37,16.0,16.0,41,121
1,38,59.5,33.41421353816986,19,118
1,39,44.0,26.82842707633972,383,114
1,40,56.5,36.24264061450958,342,115
1,41,99.0,41.65685415267944,32,94
1,42,65.0,36.0,323,86
1,43,115.5,53.899494767189026,18,90
1,44,54.0,30.82842707633972,70,80
1,45,34.0,22.82842707633972,391,78
1,46,24.0,20.0,407,76
1,47,121.5,45.41421353816986,371,78
1,48,334.0,105.31370830535889,230,79
1,49,28.0,22.0,339,75
1,50,169199.0,3368.6214864254,359,428
1,51,70.5,37.41421353816986,50,70
1,52,56.0,30.82842707633972,307,62
1,53,45.0,25.656854152679443,679,55
1,54,30.0,22.0,383,51
1,55,52.5,33.41421353816986,360,53
1,56,65.0,36.0,275,54
1,57,285.5,101.55634891986847,30,62
1,58,39.5,25.41421353816986,715,42
1,59,140.0,68.82842707633972,59,38
1,60,115.5,63.071067690849304,319,37
1,61,30.0,22.0,279,34
1,62,20.0,18.0,579,33
1,63,16.0,16.0,113,33
1,64,37.0,24.82842707633972,559,31
1,65,34.0,30.82842707633972,653,30
1,66,136.5,67.0710676908493,479,30
1,67,187.5,82.72792184352875,629,30
1,68,12.0,16.0,718,27
1,69,117.0,44.0,35,26
1,70,63.5,35.41421353816986,707,22
1,71,69.5,37.41421353816986,275,22
1,72,159.0,59.65685415267944,407,24
1,73,65.0,36.0,19,22
1,74,139.5,85.89949476718903,701,2
1,75,8.0,12.0,664,1
1,76,67.5,37.41421353816986,607,2
1,77,89.5,46.24264061450958,559,2
1,78,92.5,64.24264061450958,523,1
1,79,12.0,14.0,489,1
1,80,218.0,82.48528122901917,387,3
1,81,166.5,83.89949464797974,342,3
1,82,88.5,43.071067690849304,315,2
1,83,17.5,17.41421353816986,292,1
1,84,51.0,34.82842707633972,273,2
1,85,33.0,22.82842707633972,247,2
1,86,42.0,34.0,227,1
1,87,37.5,27.41421353816986,199,3
1,88,96.5,61.071067571640015,172,2
1,89,63.0,35.65685415267944,137,2
1,90,230.0,89.65685415267944,29,3
1,91,21.0,20.82842707633972,2,2
